2019-03-05 01:17:07,"@durov @telegram @telegram_br 

Suggestion: a pencil here to edit texts would be nice. ",B
2019-03-05 01:17:08,"@BABB_Lovers @telegram Just wondering if to pick up some more #Bax at these prices ? 
1k will buy approx 6.5 million #Bax  ",None
2019-03-05 01:32:53,"@pmnordkvist Consider @Telegram as a better, more secure alternative to @WhatsApp , which is owned by.... well I think you know who owns Whatsapp. ;-)",None
2019-03-05 02:06:49,@JamesSpediacci @muneeb @telegram @AndraCapital @MineFilecoin @dfinity @polkadotnetwork @OrchidProtocol @orbs_network @hashgraph @Algorand @cosmos @blockstack @CoinMarketCap What good is an illiquid token in the hands of 800 accredited investors?,None
2019-03-05 02:08:29,RT @anthonykudaev: #TRONICS u re #kidding me in @telegram chat. U thinks its fucking fun? ,None
2019-03-05 02:30:43,RT @AfriFintech: .@facebook @telegram and @signalapp rolling out new #cryptocurrencies over the next year to allow users to send money to c,F
2019-03-05 03:24:20,"RT @BABB_Lovers: @OlexKP @telegram yes, and  FsTech finalist for Blockchain Project of the Year
",None
2019-03-05 03:24:50,"RT @OlexKP: @BABB_Lovers @telegram Just wondering if to pick up some more #Bax at these prices ? 
1k will buy approx 6.5 million #Bax ",None
2019-03-05 03:47:34,@GrantCardone I think you have a faker on @telegram. Thought youd want to know. He went silent when I asked for a call since weve talked on the phone so I know your voice. ,None
2019-03-05 03:52:33,"#Announcement

The first edited version of the text-only whitepaper, version 0.9.9b has been uploaded in the @Telegram group 

Later in the day it will get updated on the websites.

Feedback Welcome!

#ViisiitCoin #Blockchain #Whitepaper #PrePrivateSale",None
2019-03-05 04:04:47,"Dear Telegram Telegram application has not been working for me for a month now, what should I do? @telegram @durov",None
2019-03-05 04:07:11,"@telegram Please, add ""disable forwarding"" ""enable forwarding"" functions to Telegram BOT. 
We are running a commercial BOT which charges little amount of money, and we want to make sure that users cannot forward the purchased messages (including video/audiomaterials).",None
2019-03-05 04:12:41,"RT @nerdycappuccino: #Poll When it comes to #corporate internal team #messaging, do you think companies should strictly use @Slack / @Flock",None
2019-03-05 04:26:17,RT @telegram: Oh and the source code for Telegram 5.4 for iOS and Android is of course available on GitHub ,None
2019-03-05 04:31:21,"RT @JamesSpediacci: 1/ A list of blockchain projects that haven't released tokens to investors:

@telegram (TON)
@AndraCapital (Silicon Val",B
2019-03-05 04:36:55,"you win, @telegram ",None
2019-03-05 05:35:03,"@OlexKP @BABB_Lovers @telegram So #BABB employs trolls too...

Thats a way saying "" am scam""",None
2019-03-05 05:45:18,@NukaColaCaps @telegram I think WhatsApp is the best because telegram just chatting app.,None
2019-03-05 06:15:20,@singularity_net You guys banned me from your @telegram for no reason. I was only helping to build the community through casual discussion ...,U
2019-03-05 07:17:39,RT @telegram: @bilamani_a You misunderstood: I actually meant what I said. The last release of the iOS app already had some drafts of this.,None
2019-03-05 07:57:04,@telegram hi. telegram channel invite link is not working while using 4G LTE from @reliancejio @JioCare why is it so? can you please do something about it,U
2019-03-05 07:59:45,RT @telegram: @bilamani_a You misunderstood: I actually meant what I said. The last release of the iOS app already had some drafts of this.,None
2019-03-05 08:00:52,"Greats news!!!  MMMGW already started an event!
MMMGW is the only PIONEER, AUTOMATED, ADVANCED TECHNOLOGY
AND SECURED SYSTEM COMMUNITY IN THE WORLD BE PART OF MY TEAM &amp; GROW YOUR BITCOIN UP TO 30% BONUS
CLICK the link Below
 
Contact me @TELEGRAM - @Djrons ",None
2019-03-05 08:02:01,"@tron_dice @telegram Tron link time time n roll dices twice. Twice,  roll link and Di twice. Baba.",F
2019-03-05 08:02:37,"Greats new MMMGW already started to have an event!
MMMGW is the only PIONEER, AUTOMATED, ADVANCED TECHNOLOGY
AND SECURED SYSTEM COMMUNITY IN THE WORLD BE PART OF MY TEAM &amp; GROW YOUR BITCOIN UP TO 30% BONUS
 
Contact me @TELEGRAM - @Djrons ",None
